altitude,site,plot,mountain,label,species,individual,eye,head,leg,scape
1331,PD4,A,main,PD4AAphaenogaster_gibbosa1Eye,Aphaenogaster_gibbosa,1,0.189,1.046,1.04,1.154
1331,PD4,A,main,PD4AAphaenogaster_gibbosa2Eye,Aphaenogaster_gibbosa,2,0.197,1.017,1.074,1.260
1331,PD4,A,main,PD4AAphaenogaster_gibbosa3Eye,Aphaenogaster_gibbosa,3,0.22,1.034,1.078,1.189
1331,PD4,A,main,PD4AAphaenogaster_iberica1Eye,Aphaenogaster_iberica,1,0.186,1.116,1.986,1.403
1331,PD4,A,main,PD4AAphaenogaster_iberica2Eye,Aphaenogaster_iberica,2,0.203,1.028,1.808,1.352
1331,PD4,A,main,PD4AAphaenogaster_iberica3Eye,Aphaenogaster_iberica,3,0.191,1.173,2.023,1.728
1331,PD4,A,main,PD4ACamponotus_aethiops1Eye,Camponotus_aethiops,1,0.344,1.355,2.008,1.867
1331,PD4,A,main,PD4ACamponotus_aethiops2Eye,Camponotus_aethiops,2,0.365,1.333,1.962,1.882
1331,PD4,A,main,PD4ACamponotus_aethiops3Eye,Camponotus_aethiops,3,0.309,1.234,2.093,1.712
1331,PD4,A,main,PD4ACamponotus_piceus1Eye,Camponotus_piceus,1,0.224,0.938,1.091,1.077
1331,PD4,A,main,PD4ACamponotus_piceus2Eye,Camponotus_piceus,2,0.199,0.968,1.091,0.758
1331,PD4,A,main,PD4ACataglyphis_iberica1Eye,Cataglyphis_iberica,1,0.366,1.408,2.275,1.660
1331,PD4,A,main,PD4ACataglyphis_iberica2Eye,Cataglyphis_iberica,2,0.336,1.551,2.176,1.381
1331,PD4,A,main,PD4ACataglyphis_iberica3Eye,Cataglyphis_iberica,3,0.373,1.524,2.38,1.709
1331,PD4,A,main,PD4ACrematogaster_auberti1Eye,Crematogaster_auberti,1,0.202,1.182,0.925,0.918
1331,PD4,A,main,PD4ACrematogaster_auberti2Eye,Crematogaster_auberti,2,0.152,1.094,0.819,0.815
1331,PD4,A,main,PD4ACrematogaster_auberti3Eye,Crematogaster_auberti,3,0.228,1.027,0.716,0.801
1331,PD4,A,main,PD4AGoniomma_hispanicus1Eye,Goniomma_hispanicus,1,0.169,0.913,0.897,0.804
1331,PD4,A,main,PD4AGoniomma_hispanicus2Eye,Goniomma_hispanicus,2,0.168,0.98,0.806,0.665
1331,PD4,A,main,PD4AGoniomma_hispanicus3Eye,Goniomma_hispanicus,3,0.204,0.998,0.866,0.693
1331,PD4,A,main,PD4AIberoformica_subrufa1Eye,Iberoformica_subrufa,1,0.299,1.363,1.998,1.605
1331,PD4,A,main,PD4AIberoformica_subrufa2Eye,Iberoformica_subrufa,2,0.348,1.283,1.928,1.405
1331,PD4,A,main,PD4AMessor_barbarus1Eye,Messor_barbarus,1,0.213,1.229,1.264,1.118
1331,PD4,A,main,PD4AMessor_barbarus2Eye,Messor_barbarus,2,0.178,1.019,1.041,0.950
1331,PD4,A,main,PD4AMessor_bouvieri1Eye,Messor_bouvieri,1,0.189,1.326,1.189,0.998
1331,PD4,A,main,PD4AMessor_bouvieri2Eye,Messor_bouvieri,2,0.255,1.47,1.25,1.102
1331,PD4,A,main,PD4AMessor_bouvieri3Eye,Messor_bouvieri,3,0.2,1.38,1.234,1.225
1331,PD4,A,main,PD4AMessor_capitatus1Eye,Messor_capitatus,1,0.296,2.025,1.572,1.575
1331,PD4,A,main,PD4AMessor_capitatus2Eye,Messor_capitatus,2,0.195,1.169,1.129,1.136
1331,PD4,A,main,PD4AMessor_capitatus3Eye,Messor_capitatus,3,0.203,1.4,1.341,1.122
1331,PD4,A,main,PD4AOxyopomyrmex_saulcyi1Eye,Oxyopomyrmex_saulcyi,1,0.101,0.654,0.493,0.401
1331,PD4,A,main,PD4AOxyopomyrmex_saulcyi2Eye,Oxyopomyrmex_saulcyi,2,0.164,0.675,0.536,0.456
1331,PD4,A,main,PD4AStrongylognathus_testaceus1Eye,Strongylognathus_testaceus,1,0.186,0.81,0.474,0.464
1331,PD4,A,main,PD4AStrongylognathus_testaceus2Eye,Strongylognathus_testaceus,2,0.14,0.802,0.528,0.371
1331,PD4,A,main,PD4AStrongylognathus_testaceus3Eye,Strongylognathus_testaceus,3,0.157,0.806,0.505,0.396
1331,PD4,A,main,PD4ATapinoma_erraticum1Eye,Tapinoma_erraticum,1,0.139,0.7,0.533,0.711
1331,PD4,A,main,PD4ATapinoma_erraticum2Eye,Tapinoma_erraticum,2,0.135,0.865,0.823,0.778
1331,PD4,A,main,PD4ATapinoma_erraticum3Eye,Tapinoma_erraticum,3,0.165,0.782,0.831,0.790
1331,PD4,A,main,PD4ATapinoma_madeirense1Eye,Tapinoma_madeirense,1,0.163,0.68,0.726,0.581
1331,PD4,A,main,PD4ATapinoma_nigerrimum1Eye,Tapinoma_nigerrimum,1,0.151,0.791,0.72,0.793
1331,PD4,A,main,PD4ATapinoma_nigerrimum2Eye,Tapinoma_nigerrimum,2,0.144,0.785,0.771,0.731
1331,PD4,A,main,PD4ATapinoma_nigerrimum3Eye,Tapinoma_nigerrimum,3,0.171,0.897,0.852,0.474
1331,PD4,A,main,PD4ATetramorium_caespitum1Eye,Tetramorium_caespitum,1,0.086,0.66,0.438,0.283
1331,PD4,A,main,PD4ATetramorium_caespitum2Eye,Tetramorium_caespitum,2,0.091,0.702,0.509,0.465
1331,PD4,A,main,PD4ATetramorium_caespitum3Eye,Tetramorium_caespitum,3,0.088,0.697,0.477,0.488
1331,PD4,B,main,PD4BAphaenogaster_gibbosa1Eye,Aphaenogaster_gibbosa,1,0.19,0.927,1.073,1.141
1331,PD4,B,main,PD4BAphaenogaster_gibbosa2Eye,Aphaenogaster_gibbosa,2,0.168,0.886,0.942,1.014
1331,PD4,B,main,PD4BAphaenogaster_gibbosa3Eye,Aphaenogaster_gibbosa,3,0.214,1.057,1.188,1.175
1331,PD4,B,main,PD4BAphaenogaster_iberica1Eye,Aphaenogaster_iberica,1,0.195,1.103,1.734,1.678
1331,PD4,B,main,PD4BAphaenogaster_iberica2Eye,Aphaenogaster_iberica,2,0.199,0.941,1.815,1.668
1331,PD4,B,main,PD4BAphaenogaster_iberica3Eye,Aphaenogaster_iberica,3,0.207,1.04,1.859,1.623
1331,PD4,B,main,PD4BCamponotus_aethiops1Eye,Camponotus_aethiops,1,0.313,1.242,2.054,1.848
1331,PD4,B,main,PD4BCamponotus_aethiops2Eye,Camponotus_aethiops,2,0.402,1.824,2.197,1.917
1331,PD4,B,main,PD4BCamponotus_aethiops3Eye,Camponotus_aethiops,3,0.392,1.546,2.215,1.898
1331,PD4,B,main,PD4BCataglyphis_iberica1Eye,Cataglyphis_iberica,1,0.43,1.722,2.261,1.721
1331,PD4,B,main,PD4BCataglyphis_iberica2Eye,Cataglyphis_iberica,2,0.358,1.437,2.26,1.320
1331,PD4,B,main,PD4BCataglyphis_iberica3Eye,Cataglyphis_iberica,3,0.335,1.234,1.961,1.508
1331,PD4,B,main,PD4BCrematogaster_auberti1Eye,Crematogaster_auberti,1,0.175,0.948,0.742,0.804
1331,PD4,B,main,PD4BCrematogaster_auberti2Eye,Crematogaster_auberti,2,0.186,0.952,0.661,0.647
1331,PD4,B,main,PD4BCrematogaster_auberti3Eye,Crematogaster_auberti,3,0.21,1.022,0.879,0.764
1331,PD4,B,main,PD4BFormica_rufibarbis1Eye,Formica_rufibarbis,1,0.364,1.563,2.025,1.424
1331,PD4,B,main,PD4BIberoformica_subrufa1Eye,Iberoformica_subrufa,1,0.329,1.187,1.471,1.378
1331,PD4,B,main,PD4BIberoformica_subrufa2Eye,Iberoformica_subrufa,2,0.31,1.099,1.541,1.330
1331,PD4,B,main,PD4BIberoformica_subrufa3Eye,Iberoformica_subrufa,3,0.285,1.111,1.525,1.299
1331,PD4,B,main,PD4BMessor_barbarus1Eye,Messor_barbarus,1,0.263,1.725,1.576,1.536
1331,PD4,B,main,PD4BMessor_barbarus2Eye,Messor_barbarus,2,0.337,2.377,1.926,1.714
1331,PD4,B,main,PD4BMessor_bouvieri1Eye,Messor_bouvieri,1,0.256,1.355,1.359,1.128
1331,PD4,B,main,PD4BMessor_capitatus1Eye,Messor_capitatus,1,0.199,1.169,1.212,0.989
1331,PD4,B,main,PD4BMessor_capitatus2Eye,Messor_capitatus,2,0.224,1.167,1.143,1.043
1331,PD4,B,main,PD4BMessor_capitatus3Eye,Messor_capitatus,3,0.186,1.166,1.176,1.137
1331,PD4,B,main,PD4BStrongylognathus_testaceus1Eye,Strongylognathus_testaceus,1,0.2,0.794,0.535,0.422
1331,PD4,B,main,PD4BStrongylognathus_testaceus2Eye,Strongylognathus_testaceus,2,0.14,0.779,0.549,0.427
1331,PD4,B,main,PD4BStrongylognathus_testaceus3Eye,Strongylognathus_testaceus,3,0.143,0.747,0.545,0.410
1331,PD4,B,main,PD4BTemnothorax_alfacarensis1Eye,Temnothorax_alfacarensis,1,0.134,0.523,0.37,0.400
1331,PD4,B,main,PD4BTetramorium_caespitum1Eye,Tetramorium_caespitum,1,0.081,0.668,0.453,0.476
1331,PD4,B,main,PD4BTetramorium_caespitum2Eye,Tetramorium_caespitum,2,0.09,0.696,0.456,0.509
1331,PD4,B,main,PD4BTetramorium_caespitum3Eye,Tetramorium_caespitum,3,0.089,0.684,0.455,0.531
1331,PD4,B,main,PD4BTetramorium_forte1Eye,Tetramorium_forte,1,0.088,0.747,0.521,0.430
1331,PD4,B,main,PD4BTetramorium_forte2Eye,Tetramorium_forte,2,0.144,0.738,0.53,0.569
1331,PD4,B,main,PD4BTetramorium_forte3Eye,Tetramorium_forte,3,0.106,0.709,0.513,0.488
1331,PD4,C,main,PD4CAphaenogaster_gibbosa1Eye,Aphaenogaster_gibbosa,1,0.172,1.049,1.147,1.359
1331,PD4,C,main,PD4CAphaenogaster_gibbosa2Eye,Aphaenogaster_gibbosa,2,0.183,1.19,1.274,1.335
1331,PD4,C,main,PD4CAphaenogaster_gibbosa3Eye,Aphaenogaster_gibbosa,3,0.17,1.083,1.095,1.330
1331,PD4,C,main,PD4CAphaenogaster_iberica1Eye,Aphaenogaster_iberica,1,0.187,1.13,1.923,1.815
1331,PD4,C,main,PD4CAphaenogaster_iberica2Eye,Aphaenogaster_iberica,2,0.19,1.049,1.976,1.740
1331,PD4,C,main,PD4CAphaenogaster_iberica3Eye,Aphaenogaster_iberica,3,0.202,1.143,1.94,1.838
1331,PD4,C,main,PD4CCamponotus_aethiops1Eye,Camponotus_aethiops,1,0.32,1.325,1.986,1.693
1331,PD4,C,main,PD4CCamponotus_piceus1Eye,Camponotus_piceus,1,0.245,1.017,1.126,1.110
1331,PD4,C,main,PD4CCataglyphis_iberica1Eye,Cataglyphis_iberica,1,0.33,1.391,2.331,1.620
1331,PD4,C,main,PD4CCataglyphis_iberica2Eye,Cataglyphis_iberica,2,0.314,1.276,2.016,1.414
1331,PD4,C,main,PD4CCataglyphis_iberica3Eye,Cataglyphis_iberica,3,0.339,1.347,2.054,1.640
1331,PD4,C,main,PD4CCrematogaster_auberti1Eye,Crematogaster_auberti,1,0.151,1.022,0.762,0.813
1331,PD4,C,main,PD4CCrematogaster_auberti2Eye,Crematogaster_auberti,2,0.216,1.169,1.091,1.057
1331,PD4,C,main,PD4CCrematogaster_auberti3Eye,Crematogaster_auberti,3,0.184,0.875,0.724,0.733
1331,PD4,C,main,PD4CGoniomma_hispanicus1Eye,Goniomma_hispanicus,1,0.171,0.978,0.821,0.728
1331,PD4,C,main,PD4CGoniomma_hispanicus2Eye,Goniomma_hispanicus,2,0.189,1.04,0.889,0.708
1331,PD4,C,main,PD4CGoniomma_hispanicus3Eye,Goniomma_hispanicus,3,0.12,0.709,0.712,0.686
1331,PD4,C,main,PD4CLasius_piliferus1Eye,Lasius_piliferus,1,0.139,0.717,0.708,0.684
1331,PD4,C,main,PD4CMessor_barbarus1Eye,Messor_barbarus,1,0.221,1.144,1.052,1.002
1331,PD4,C,main,PD4CMessor_bouvieri1Eye,Messor_bouvieri,1,0.233,1.384,1.267,1.269
